,Dataset,Method,Metric,Patient,Performance
0,V-23_24,MMSBM,Recall,216,0.8648648648648649
1,V-23_24,MMSBM,Precision,216,0.7441860463385613
2,V-23_24,MMSBM,Accuracy,216,0.8220338983050848
3,V-23_24,MMSBM,Recall,217,0.43902439024390244
4,V-23_24,MMSBM,Precision,217,0.666666666419753
5,V-23_24,MMSBM,Accuracy,217,0.6694915254237287
6,V-23_24,MMSBM,Recall,214,0.631578947368421
7,V-23_24,MMSBM,Precision,214,0.6486486484733381
8,V-23_24,MMSBM,Accuracy,214,0.7372881355932203
9,V-23_24,MMSBM,Recall,215,0.22727272727272727
10,V-23_24,MMSBM,Precision,215,0.45454545413223135
11,V-23_24,MMSBM,Accuracy,215,0.788135593220339
12,V-23_24,MMSBM,Recall,212,0.4583333333333333
13,V-23_24,MMSBM,Precision,212,0.5789473681163435
14,V-23_24,MMSBM,Accuracy,212,0.7881355932203389
15,V-23_24,MMSBM,Recall,213,0.34375
16,V-23_24,MMSBM,Precision,213,0.6470588231487889
17,V-23_24,MMSBM,Accuracy,213,0.7457627118644068
18,V-23_24,MMSBM,Recall,210,0.7222222222222222
19,V-23_24,MMSBM,Precision,210,0.742857142644898
20,V-23_24,MMSBM,Accuracy,210,0.7966101694915255
21,V-23_24,MMSBM,Recall,211,0.3448275862068966
22,V-23_24,MMSBM,Precision,211,0.43478260850661626
23,V-23_24,MMSBM,Accuracy,211,0.7203389830508475
24,V-23_24,MMSBM,Recall,165,0.6507936507936508
25,V-23_24,MMSBM,Precision,165,0.819999999836
26,V-23_24,MMSBM,Accuracy,165,0.652542372881356
27,V-23_24,MMSBM,Recall,218,0.375
28,V-23_24,MMSBM,Precision,218,0.9999999988888888
29,V-23_24,MMSBM,Accuracy,218,0.8305084745762712
30,V-23_24,MMSBM,Recall,219,0.36363636363636365
31,V-23_24,MMSBM,Precision,219,0.5217391302079395
32,V-23_24,MMSBM,Accuracy,219,0.728813559322034
33,V-23_24,MMSBM,Recall,133,0.2222222222222222
34,V-23_24,MMSBM,Precision,133,0.5999999993999999
35,V-23_24,MMSBM,Accuracy,133,0.7627118644067796
36,V-23_24,MMSBM,Recall,132,0.35714285714285715
37,V-23_24,MMSBM,Precision,132,0.5882352937716263
38,V-23_24,MMSBM,Accuracy,132,0.7796610169491526
39,V-23_24,MMSBM,Recall,131,0.6585365853658537
40,V-23_24,MMSBM,Precision,131,0.710526315602493
41,V-23_24,MMSBM,Accuracy,131,0.7711864406779662
42,V-23_24,MMSBM,Recall,130,0.627906976744186
43,V-23_24,MMSBM,Precision,130,0.67499999983125
44,V-23_24,MMSBM,Accuracy,130,0.728813559322034
45,V-23_24,MMSBM,Recall,137,0.5714285714285714
46,V-23_24,MMSBM,Precision,137,0.6666666664444444
47,V-23_24,MMSBM,Accuracy,137,0.7372881355932204
48,V-23_24,MMSBM,Recall,136,0.6444444444444445
49,V-23_24,MMSBM,Precision,136,0.7073170729982153
50,V-23_24,MMSBM,Accuracy,136,0.6949152542372882
51,V-23_24,MMSBM,Recall,135,0.7580645161290323
52,V-23_24,MMSBM,Precision,135,0.8103448274464923
53,V-23_24,MMSBM,Accuracy,135,0.711864406779661
54,V-23_24,MMSBM,Recall,134,0.7678571428571429
55,V-23_24,MMSBM,Precision,134,0.8269230767640532
56,V-23_24,MMSBM,Accuracy,134,0.7203389830508475
57,V-23_24,MMSBM,Recall,139,0.2692307692307692
58,V-23_24,MMSBM,Precision,139,0.49999999964285713
59,V-23_24,MMSBM,Accuracy,139,0.7627118644067796
60,V-23_24,MMSBM,Recall,138,0.3548387096774194
61,V-23_24,MMSBM,Precision,138,0.49999999977272724
62,V-23_24,MMSBM,Accuracy,138,0.7372881355932204
63,V-23_24,MMSBM,Recall,166,0.6363636363636364
64,V-23_24,MMSBM,Precision,166,0.6774193546201873
65,V-23_24,MMSBM,Accuracy,166,0.7796610169491525
66,V-23_24,MMSBM,Recall,24,0.7547169811320755
67,V-23_24,MMSBM,Precision,24,0.8333333331597222
68,V-23_24,MMSBM,Accuracy,24,0.7457627118644068
69,V-23_24,MMSBM,Recall,25,0.85
70,V-23_24,MMSBM,Precision,25,0.8095238093310657
71,V-23_24,MMSBM,Accuracy,25,0.847457627118644
72,V-23_24,MMSBM,Recall,26,0.6071428571428571
73,V-23_24,MMSBM,Precision,26,0.809523809138322
74,V-23_24,MMSBM,Accuracy,26,0.8389830508474576
75,V-23_24,MMSBM,Recall,27,0.4
76,V-23_24,MMSBM,Precision,27,0.5714285711564626
77,V-23_24,MMSBM,Accuracy,27,0.7542372881355932
78,V-23_24,MMSBM,Recall,20,0.5740740740740741
79,V-23_24,MMSBM,Precision,20,0.7948717946679815
80,V-23_24,MMSBM,Accuracy,20,0.6440677966101696
81,V-23_24,MMSBM,Recall,21,0.7407407407407407
82,V-23_24,MMSBM,Precision,21,0.8510638296061566
83,V-23_24,MMSBM,Accuracy,21,0.7457627118644068
84,V-23_24,MMSBM,Recall,22,0.4411764705882353
85,V-23_24,MMSBM,Precision,22,0.5172413791319858
86,V-23_24,MMSBM,Accuracy,22,0.7203389830508474
87,V-23_24,MMSBM,Recall,23,0.8085106382978723
88,V-23_24,MMSBM,Precision,23,0.7450980390695886
89,V-23_24,MMSBM,Accuracy,23,0.7627118644067796
90,V-23_24,MMSBM,Recall,160,0.6724137931034483
91,V-23_24,MMSBM,Precision,160,0.8297872338660027
92,V-23_24,MMSBM,Accuracy,160,0.6779661016949152
93,V-23_24,MMSBM,Recall,28,0.5526315789473685
94,V-23_24,MMSBM,Precision,28,0.7777777774897119
95,V-23_24,MMSBM,Accuracy,28,0.771186440677966
96,V-23_24,MMSBM,Recall,29,0.6888888888888889
97,V-23_24,MMSBM,Precision,29,0.7560975607911957
98,V-23_24,MMSBM,Accuracy,29,0.711864406779661
99,V-23_24,MMSBM,Recall,161,0.6949152542372882
100,V-23_24,MMSBM,Precision,161,0.8039215684698193
